Matrix_iterations,Hidden,Lambda,Start time,End time,Execution time,train_accuracy,validation_accuracy,test_accuracy
150,48,15,5:15:44,5:18:41,176.79,97.55%,96.32%,96.60%
150,48,20,5:18:41,5:21:35,174.23,97.08%,95.99%,96.57%
150,48,25,5:21:35,5:24:31,175.79,96.71%,95.90%,96.31%
150,48,30,5:24:31,5:27:27,176.26,96.44%,95.55%,95.91%
150,48,35,5:27:27,5:30:22,174.47,96.14%,95.45%,95.96%
150,48,40,5:30:22,5:33:18,176.07,95.74%,95.21%,95.56%
150,48,45,5:33:18,5:36:14,176.43,95.54%,94.89%,95.44%
150,48,50,5:36:14,5:39:10,175.89,95.33%,94.72%,95.23%
150,48,55,5:39:10,5:42:06,175.93,94.98%,94.54%,94.96%
150,48,60,5:42:06,5:45:01,174.54,94.76%,94.13%,94.78%
150,52,0,5:45:01,5:48:36,215.81,98.96%,96.81%,97.04%
150,52,5,5:48:36,5:51:54,197.76,98.32%,96.73%,96.89%
150,52,10,5:51:54,5:54:56,181.45,98.13%,96.69%,96.94%
150,52,15,5:54:56,5:57:59,183.4,97.58%,96.41%,96.78%
150,52,20,5:57:59,6:01:00,181.31,97.28%,96.27%,96.66%
150,52,25,6:01:00,6:04:02,181.74,96.88%,95.67%,96.46%
150,52,30,6:04:02,6:07:06,183.5,96.55%,95.68%,96.16%
150,52,35,6:07:06,6:10:07,181.33,96.16%,95.34%,95.95%
150,52,40,6:10:07,6:13:08,181.48,95.94%,95.29%,95.61%
150,52,45,6:13:08,6:16:09,180.57,95.49%,94.70%,95.43%
150,52,50,6:16:09,6:19:10,181.21,95.47%,94.89%,95.37%
150,52,55,6:19:10,6:22:14,183.35,95.18%,94.71%,95.04%
150,52,60,6:22:14,6:25:14,180.47,94.91%,94.21%,94.84%
150,56,0,6:25:14,6:28:54,219.95,98.90%,96.70%,97.01%
150,56,5,6:28:54,6:32:15,200.72,98.42%,96.89%,97.07%
150,56,10,6:32:15,6:35:22,187.57,98.10%,96.65%,96.88%
150,56,15,6:35:22,6:38:32,189.54,97.79%,96.68%,96.94%
150,56,20,6:38:32,6:41:42,190.53,97.27%,96.22%,96.76%
150,56,25,6:41:42,6:44:50,187.67,96.90%,96.02%,96.50%
150,56,30,6:44:50,6:47:58,188.29,96.58%,95.72%,96.14%
150,56,35,6:47:58,6:51:07,188.74,96.23%,95.57%,96.07%
150,56,40,6:51:07,6:54:19,191.99,95.80%,95.10%,95.73%
150,56,45,6:54:19,6:57:29,190.04,95.71%,95.07%,95.60%
150,56,50,6:57:29,7:00:37,188.31,95.51%,94.87%,95.32%
150,56,55,7:00:37,7:04:09,211.44,95.19%,94.68%,95.16%
150,56,60,7:04:09,7:07:19,189.8,94.98%,94.48%,94.82%
150,60,0,7:07:19,7:11:15,236.63,99.17%,96.81%,97.13%
150,60,5,7:11:15,7:14:35,199.78,98.84%,96.91%,97.37%
150,60,10,7:14:35,7:17:50,194.8,98.26%,96.90%,97.17%
150,60,15,7:17:50,7:21:11,200.79,97.64%,96.58%,97.00%
150,60,20,7:21:11,7:24:31,200.39,97.43%,96.37%,96.61%
150,60,25,7:24:31,7:27:46,195.09,96.96%,96.07%,96.60%
150,60,30,7:27:46,7:31:02,196.11,96.69%,95.72%,96.34%
150,60,35,7:31:02,7:34:18,196.06,96.35%,95.54%,96.09%
150,60,40,7:34:18,7:37:34,195.48,96.10%,95.35%,95.80%
150,60,45,7:37:34,7:40:51,197.72,95.57%,94.91%,95.51%
150,60,50,7:40:51,7:44:09,197.83,95.44%,94.91%,95.53%
150,60,55,7:44:09,7:47:26,196.97,95.30%,94.74%,95.18%
150,60,60,7:47:26,7:50:42,195.34,94.98%,94.44%,94.95%
150,64,0,7:50:42,7:54:36,234.24,99.00%,96.80%,97.24%
150,64,5,7:54:36,7:58:08,211.73,98.47%,96.75%,97.18%
150,64,10,7:58:08,8:01:37,209.16,98.31%,96.92%,97.19%
150,64,15,8:01:37,8:05:03,206.62,97.86%,96.58%,96.96%
150,64,20,8:05:03,8:08:27,203.45,97.40%,96.28%,96.77%
150,64,25,8:08:27,8:11:48,201.47,97.00%,96.05%,96.45%
150,64,30,8:11:48,8:15:13,204.91,96.68%,95.83%,96.35%
150,64,35,8:15:13,8:18:37,204.05,96.32%,95.45%,95.95%
150,64,40,8:18:37,8:22:00,202.47,96.08%,95.34%,95.94%
150,64,45,8:22:00,8:25:24,204.48,95.78%,95.33%,95.61%
150,64,50,8:25:24,8:28:49,204.63,95.52%,94.89%,95.71%
150,64,55,8:28:49,8:32:14,205.1,95.39%,94.84%,95.22%
150,64,60,8:32:14,8:35:37,203.53,95.19%,94.71%,95.16%
150,68,0,8:35:37,8:39:35,237.6,99.29%,97.07%,97.30%
150,68,5,8:39:35,8:43:24,229.17,98.53%,96.97%,97.10%
150,68,10,8:43:24,8:46:57,212.96,98.41%,97.05%,97.25%
150,68,15,8:46:57,8:50:28,210.71,97.84%,96.63%,96.93%
150,68,20,8:50:28,8:53:57,209.46,97.53%,96.41%,97.00%
150,68,25,8:53:57,8:57:30,212.24,97.07%,96.18%,96.69%
150,68,30,8:57:30,9:00:57,207.48,96.76%,95.94%,96.35%
150,68,35,9:00:57,9:04:25,208.16,96.45%,95.63%,96.15%
150,68,40,9:04:25,9:07:57,211.74,96.06%,95.30%,95.77%
150,68,45,9:07:57,9:11:26,209.06,95.75%,95.04%,95.76%
150,68,50,9:11:26,9:14:52,206.32,95.55%,95.02%,95.44%
150,68,55,9:14:52,9:18:22,209.28,95.30%,94.64%,95.19%
150,68,60,9:18:22,9:21:53,211.38,95.06%,94.49%,94.99%
150,72,0,9:21:53,9:26:13,259.67,99.15%,97.11%,97.36%
150,72,5,9:26:13,9:30:06,232.9,98.46%,96.71%,97.02%
150,72,10,9:30:06,9:33:55,229.64,98.32%,97.02%,97.20%
150,72,15,9:33:55,9:37:34,219.1,98.01%,96.83%,97.21%
150,72,20,9:37:34,9:41:15,221.12,97.58%,96.51%,96.96%
150,72,25,9:41:15,9:44:52,217.08,97.19%,96.20%,96.61%
150,72,30,9:44:52,9:48:31,218.97,96.66%,95.94%,96.49%
150,72,35,9:48:31,9:52:06,214.27,96.47%,95.65%,96.28%
150,72,40,9:52:06,9:55:43,217.37,96.22%,95.49%,96.04%
150,72,45,9:55:43,9:59:19,216.17,95.87%,95.23%,95.70%
150,72,50,9:59:19,10:02:55,216.01,95.60%,94.99%,95.64%
150,72,55,10:02:55,10:06:34,218.73,95.33%,94.84%,95.37%
150,72,60,10:06:34,10:10:08,213.9,95.14%,94.75%,95.19%
150,76,0,10:10:08,10:14:34,266.38,99.45%,97.10%,97.38%
150,76,5,10:14:34,10:18:51,256.26,98.93%,97.15%,97.47%
150,76,10,10:18:51,10:22:47,236.06,98.27%,96.96%,97.22%
150,76,15,10:22:47,10:26:35,228.53,97.94%,96.69%,96.91%
150,76,20,10:26:35,10:30:18,223.03,97.63%,96.54%,97.00%
150,76,25,10:30:18,10:34:01,222.46,97.14%,96.29%,96.68%
150,76,30,10:34:01,10:37:43,222.59,96.82%,95.93%,96.51%
150,76,35,10:37:43,10:41:27,223.38,96.50%,95.77%,96.23%
150,76,40,10:41:27,10:45:09,222.75,96.12%,95.43%,95.94%
150,76,45,10:45:09,10:48:57,227.3,95.81%,95.17%,95.78%
150,76,50,10:48:57,10:52:39,222.03,95.62%,95.07%,95.52%
150,76,55,10:52:39,10:56:26,226.91,95.34%,94.78%,95.32%
150,76,60,10:56:26,11:00:07,221.88,95.18%,94.59%,95.20%
150,80,0,11:00:07,11:04:49,281.4,99.56%,97.26%,97.53%
150,80,5,11:04:49,11:08:51,241.96,98.61%,96.99%,97.10%
150,80,10,11:08:51,11:12:47,236.29,98.53%,97.16%,97.29%
150,80,15,11:12:47,11:16:38,230.73,97.93%,96.72%,96.99%
150,80,20,11:16:38,11:20:28,230.35,97.45%,96.40%,96.91%
150,80,25,11:20:28,11:24:52,264.26,97.21%,96.24%,96.56%
150,80,30,11:24:52,11:29:18,265.44,96.88%,95.93%,96.46%
